日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/02/24,300841,290596,103.53,254702,208935,121.90,
2023/02/23,315061,267524,117.77,234335,181113,129.39,
2023/02/22,501565,517194,96.98,166774,157273,106.04,
2023/02/21,209850,200587,104.62,256113,229380,111.65,
2023/02/20,310725,264939,117.28,241534,214613,112.54,
2023/02/17,269439,285400,94.41,209834,198049,105.95,
2023/02/16,249731,216067,115.58,185223,158674,116.73,
2023/02/15,701234,738813,94.91,126910,126021,100.71,
2023/02/14,296406,264638,112.00,281937,246165,114.53,
2023/02/13,284562,335607,84.79,262026,241530,108.49,
2023/02/10,283253,305030,92.86,241910,207141,116.79,
2023/02/09,184452,179394,102.82,215255,178170,120.81,
2023/02/08,550057,486557,113.05,172508,140816,122.51,
2023/02/07,338851,341292,99.28,245734,232426,105.73,
2023/02/06,290708,336046,86.51,221044,211053,104.73,
2023/02/03,253053,253651,99.76,200888,182160,110.28,
2023/02/02,265711,243436,109.15,174915,157141,111.31,
2023/02/01,398264,441790,90.15,112610,127496,88.32,
